"","COUNTY","County","FIPS_res","TOTAL_CASES","TOTAL_DEATHS","CASES_BLACK","DEATHS_BLACK","HOSP_BLACK","CASES_WHITE","DEATHS_WHITE","HOSP_WHITE","PERC_CASES_RACE_UNK","PERC_DEATHS_RACE_UNK","PERC_HOSP_RACE_UNK","TOTAL_VAX","TOTAL_VAX_BLACK","TOTAL_VAX_WHITE","PERC_VAX_RACE_UNK","TOTAL_VAX_65","TOTAL_VAX_65_BLACK","TOTAL_VAX_65_WHITE","Total_pop","WHITE_count","BLACK_count","WHITE","BLACK","WHITE_65_count","BLACK_65_count"
"1","Appling","Appling County, Georgia",13001,1853,"62","346","13","31",952,"47","116",18.4565569347005,0,2.39520958083832,2530,"412",1833,0.869565217391304,1526,"211",1151,18440,12745,3555,69.1,19.3,2515,"475"
"2","Atkinson","Atkinson County, Georgia",13003,762,"16","132","5","23",340,"9","57",15.3543307086614,0,5.30973451327434,1023,"172",680,2.34604105571848,559,"86",424,8239,4657,1434,56.5,17.4,825,"205"
"3","Bacon","Bacon County, Georgia",13005,1025,"28","135","<5","15",619,"23","52",15.1219512195122,0,5.12820512820513,1385,"122",1151,2.16606498194946,807,"67",685,11201,8234,1701,73.5,15.2,1450,"180"
"4","Baker","Baker County, Georgia",13007,160,"9","67","7","21",72,"<5","12",5.625,0,0,677,"290",350,1.18168389955687,377,"154",197,3132,1586,1241,50.6,39.6,420,"200"
"5","Baldwin","Baldwin County, Georgia",13009,3762,"107","1214","39","143",1709,"63","132",12.9186602870813,0.934579439252336,2.58899676375405,8359,"2709",4380,1.45950472544563,4389,"1127",2599,45111,23631,18995,52.4,42.1,4465,"2015"
"6","Banks","Banks County, Georgia",13011,1585,"33","40","<5","7",1155,"30","161",13.7539432176656,0,3.2967032967033,2393,"52",2109,1.92227329711659,1510,"26",1378,18708,16425,486,87.8,2.6,2865,"49"
"7","Barrow","Barrow County, Georgia",13013,8291,"120","976","10","91",4466,"94","379",20.3714871547461,4.16666666666667,5.42907180385289,10219,"995",7298,6.36070065564145,5436,"448",4154,78991,56356,9238,71.3,11.7,7705,"755"
"8","Bartow","Bartow County, Georgia",13015,10711,"195","970","19","86",6133,"165","572",23.0510689944916,0.512820512820513,6.39686684073107,14904,"1034",12283,2.16049382716049,8306,"476",7146,104919,81287,10825,77.5,10.3,12100,"990"
"9","Ben Hill","Ben Hill County, Georgia",13017,1475,"56","481","20","64",644,"36","73",17.7627118644068,0,4.72972972972973,2699,"723",1620,1.81548721748796,1603,"384",1043,17033,9511,6236,55.8,36.6,1965,"750"
"10","Berrien","Berrien County, Georgia",13019,1033,"29","146","5","7",715,"24","57",9.87415295256534,0,5.71428571428571,2809,"260",2242,3.34638661445354,1656,"137",1374,19152,15671,2030,81.8,10.6,2855,"224"
